#ID,Provider,Region,Network,Start IP,End IP
bluemix,IBM Bluemix,USA/us-south,SOFTLAYER-RIPE-4-30-34,169.40.0.0,169.40.255.255
bluemix,IBM Bluemix,USA/us-south,SOFTLAYER-RIPE-4-35,169.44.0.0,169.44.255.255
bluemix,IBM Bluemix,USA/us-south,SOFTLAYER-RIPE-4-18-19-20,169.45.0.0,169.48.255.255
bluemix,IBM Bluemix,USA/us-south,SOFTLAYER-RIPE-4-21,169.50.0.0,169.51.255.255
bluemix,IBM Bluemix,USA/us-south,SOFTLAYER-RIPE-4-30-31,169.53.0.0,169.63.255.255
icclab,ZHAW ICCLab,Switzerland,ZHAW,160.85.0.0,160.85.255.255
google,Google Cloud Platform,USA/us-east+us-west+us-central+asia-east+asia-northeast,GOOGLE-CLOUD,104.196.0.0,104.199.255.255
google,Google Cloud Platform,Europea/europe-west,GOOGLE-CLOUD,35.184.0.0,35.191.255.255
aws,Amazon Web Services,Ireland,AMAZON-DUB,52.48.0.0,52.51.255.255
aws,Amazon Web Services,Unknown,AT-88-Z,52.0.0.0,52.79.255.255
aws,Amazon Web Services,Unknown,AT-88-Z,52.192.0.0,52.223.255.255
aws,Amazon Web Services,Unknown,AT-88-Z,35.152.0.0,35.183.255.255
aws,Amazon Web Services,Unknown,AMAZON-2011L,54.160.0.0,54.207.255.255
aws,Amazon Web Services,Unknown,AMAZON,54.144.0.0,54.159.255.255
azure,Microsoft Windows Azure,Unknown,MSFT,23.96.0.0,23.103.255.255
appuio,APPUiO/Cloudscale,Unknown,CUSTOMER-VPS3-ZRH1-NET,5.102.146.0,5.102.146.255
